               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066099,            0.038913,            0.051555,             0.24098,             0.59397,             0.28274,             0.15845,            0.039289,            0.016838,            0.046928,           0.0033121,           0.0033121,            0.070191
                   1,            0.043821,            0.023573,            0.046805,             0.30175,             0.57864,              0.3664,             0.21361,            0.032713,            0.013849,            0.042074,           0.0065139,           0.0065139,             0.04006
                   2,            0.039208,             0.02051,            0.041638,             0.42031,             0.66558,             0.48713,             0.31322,            0.029972,            0.013145,            0.036135,           0.0095836,           0.0095836,           0.0097959
                   3,            0.034981,            0.019704,            0.036292,             0.63298,             0.74953,             0.74388,             0.51833,            0.026451,            0.011904,            0.028402,            0.009406,            0.009406,            0.009406
                   4,            0.028812,            0.018816,            0.030389,             0.73308,             0.67044,             0.75467,             0.57897,            0.023574,            0.013161,             0.02831,            0.009406,            0.009406,            0.009406
                   5,            0.026625,            0.017992,            0.026905,             0.75395,             0.75655,             0.82834,             0.62654,            0.022172,            0.012236,            0.023621,            0.009208,            0.009208,            0.009208
                   6,            0.025172,            0.018092,             0.02488,              0.8318,              0.8576,             0.91198,             0.75143,            0.017584,            0.010193,            0.016352,             0.00901,             0.00901,             0.00901
                   7,            0.023374,            0.017332,            0.023253,              0.7005,             0.69134,             0.75964,             0.63856,            0.017833,            0.011043,            0.030933,            0.008812,            0.008812,            0.008812
                   8,            0.021735,            0.016556,            0.022507,             0.86737,             0.80486,             0.91814,             0.77463,             0.01799,            0.010198,            0.015574,            0.008614,            0.008614,            0.008614
                   9,            0.021917,            0.016487,             0.02088,             0.87535,             0.84895,             0.92922,             0.76839,            0.017375,           0.0098846,            0.014361,            0.008416,            0.008416,            0.008416
                  10,            0.021627,            0.016582,            0.020368,             0.85496,             0.86101,             0.93057,             0.79412,            0.016384,            0.009848,            0.014103,            0.008218,            0.008218,            0.008218
                  11,            0.020381,            0.016368,            0.018969,              0.8741,             0.86915,             0.93791,             0.82952,            0.013964,           0.0088618,            0.013754,             0.00802,             0.00802,             0.00802
